Total Loss
Epoch, Initial Loss, PDE Loss, Total Loss, L2 Error
1, 9993.4736328125, 0.015517049469053745, 599.6239013671875, 0.996060311794281
2, 9836.7294921875, 0.0156165836378932, 590.2193603515625, 0.993432343006134
3, 9686.9130859375, 0.01586591638624668, 581.2306518554688, 0.9903993010520935
4, 9542.42578125, 0.01619245670735836, 572.5617065429688, 0.987205445766449
5, 9402.9404296875, 0.016550688073039055, 564.1929321289062, 0.9838358163833618
6, 9269.6162109375, 0.016875693574547768, 556.1937866210938, 0.9802046418190002
7, 9143.126953125, 0.017115028575062752, 548.6046752929688, 0.9762433767318726
8, 9023.1708984375, 0.017238881438970566, 541.407470703125, 0.9718641638755798
9, 8908.8544921875, 0.0172326248139143, 534.5484619140625, 0.9668440818786621
10, 8799.0703125, 0.017091097310185432, 527.9613037109375, 0.9600424766540527
11, 8692.7724609375, 0.01678355224430561, 521.5831298828125, 0.9397231936454773
12, 8589.08984375, 0.015230312943458557, 515.3606567382812, 0.9292443990707397
13, 8487.3486328125, 0.014548874460160732, 509.2554626464844, 0.9207360148429871
14, 8387.05859375, 0.013966821134090424, 503.23748779296875, 0.9121963977813721
15, 8287.888671875, 0.013370861299335957, 497.28668212890625, 0.9033806920051575
16, 8189.62158203125, 0.012764749117195606, 491.3900451660156, 0.894009530544281
17, 8092.13037109375, 0.012149381451308727, 485.5399475097656, 0.8832211494445801
18, 7995.3466796875, 0.011505966074764729, 479.7322998046875, 0.8656469583511353
19, 7899.23876953125, 0.01061466708779335, 473.9649353027344, 0.8368886113166809
20, 7803.7998046875, 0.008572865277528763, 468.2365417480469, 0.8241906762123108
21, 7709.03466796875, 0.00793415866792202, 462.5500183105469, 0.7954330444335938
22, 7614.95654296875, 0.006307853385806084, 456.9036865234375, 0.7826064825057983
23, 7521.58251953125, 0.00574369914829731, 451.3006896972656, 0.7715147137641907
24, 7428.9296875, 0.0052594286389648914, 445.74102783203125, 0.7606897950172424
25, 7337.0166015625, 0.0048142243176698685, 440.2257995605469, 0.7498536705970764
26, 7245.85791015625, 0.0043994830921292305, 434.755859375, 0.7386094331741333
27, 7155.46728515625, 0.004004301968961954, 429.33203125, 0.724789559841156
28, 7065.861328125, 0.0035785294603556395, 423.9552307128906, 0.70445317029953
29, 6977.04638671875, 0.002749413950368762, 418.6255187988281, 0.6939695477485657
30, 6889.03662109375, 0.002454181667417288, 413.3446350097656, 0.6835938096046448
31, 6801.83740234375, 0.002180437557399273, 408.1123962402344, 0.6724655628204346
32, 6715.453125, 0.0019136976916342974, 402.9291076660156, 0.6559080481529236
33, 6629.89208984375, 0.0014218271244317293, 397.7949523925781, 0.646142303943634
34, 6545.15478515625, 0.0012137913145124912, 392.71051025390625, 0.6370702385902405
35, 6461.24462890625, 0.0010351123055443168, 387.67572021484375, 0.6281759142875671
36, 6378.16455078125, 0.0008724067592993379, 382.69073486328125, 0.6194301247596741
37, 6295.9111328125, 0.0007248820038512349, 377.7554016113281, 0.6108233332633972
38, 6214.48779296875, 0.0005920142866671085, 372.8698425292969, 0.6023479700088501
39, 6133.89111328125, 0.00047337630530819297, 368.033935546875, 0.5939920544624329
40, 6054.119140625, 0.00036859529791399837, 363.24749755859375, 0.5857304930686951
41, 5975.169921875, 0.00027732367743737996, 358.5104675292969, 0.5774998068809509
42, 5897.04052734375, 0.00019917554163839668, 353.8226318359375, 0.5690802335739136
43, 5819.7275390625, 0.00013339910947252065, 349.18377685546875, 0.5589615106582642
44, 5743.22705078125, 6.650543218711391e-05, 344.59368896484375, 0.5499206781387329
45, 5667.533203125, 2.4102982933982275e-05, 340.052001953125, 0.5425208210945129
46, 5592.642578125, 1.008824347081827e-05, 335.55853271484375, 0.5353941917419434
47, 5518.55078125, 8.805622201180086e-06, 331.113037109375, 0.5284678936004639
48, 5445.25341796875, 1.9907780369976535e-05, 326.7152404785156, 0.5217262506484985
49, 5372.74267578125, 4.3160940549569204e-05, 322.3645935058594, 0.5151638388633728
50, 5301.0146484375, 7.836800068616867e-05, 318.06097412109375, 0.5087767243385315
51, 5230.064453125, 0.00012536188296508044, 313.8039855957031, 0.5025598406791687
52, 5159.884765625, 0.00018401035049464554, 309.59326171875, 0.49650582671165466
53, 5090.4697265625, 0.0002542348811402917, 305.42840576171875, 0.4906120002269745
54, 5021.814453125, 0.0003360167611390352, 301.3092041015625, 0.4849221706390381
55, 4953.9130859375, 0.00042918205144815147, 297.2351989746094, 0.47957590222358704
56, 4886.76025390625, 0.0005326787941157818, 293.20611572265625, 0.47457584738731384
57, 4820.34716796875, 0.0006460788426920772, 289.2214660644531, 0.4697957932949066
58, 4754.67041015625, 0.000770062324590981, 285.2809753417969, 0.46519628167152405
59, 4689.72216796875, 0.0009046970517374575, 281.3842468261719, 0.46078386902809143
60, 4625.49609375, 0.001049773651175201, 277.5307922363281, 0.4565708339214325
61, 4561.98876953125, 0.001205077744089067, 273.72052001953125, 0.45256713032722473
62, 4499.19140625, 0.0013704192824661732, 269.9528503417969, 0.448780357837677
63, 4437.0986328125, 0.0015456285327672958, 266.22747802734375, 0.44521552324295044
64, 4375.70361328125, 0.0017305508954450488, 262.5439453125, 0.4418770968914032
65, 4315.001953125, 0.0019250400364398956, 258.90203857421875, 0.4387681484222412
66, 4254.9873046875, 0.00212895218282938, 255.30137634277344, 0.43589118123054504
67, 4195.6513671875, 0.0023421545047312975, 251.7414093017578, 0.4332481622695923
68, 4136.99169921875, 0.0025645075365900993, 248.22206115722656, 0.43084073066711426
